Protein ID,Identified Length,Gene ID,Protein Name,Organism Name,Taxonomic ID,Molecular Function-GO Annot,Molecular Function-Keyword,Biological processes-GO Annot,Biological processes-Keywords,Cellular Component-Go Annot,Cellular Component-Keywords,Disease-OMIM ID,Disease-Keywords,Technical Terms-Keywords,Polymorphism
Q556U0,160,8618821,Small GTPase,Dictyostelium discoideum (Slime mold),44689,"GDP binding, GTPase activity, GTP binding",nan,small GTPase mediated signal transduction,nan,Plasma Membrane,nan,nan,nan,Reference proteome,nan
Q5ANJ9,160,3635211,Ras2p,Candida albicans (strain SC5314 / ATCC MYA-2876) (Yeast),237561,"GDP binding, GTPase activity, GTP binding",nan,"cellular response to starvation, filamentous growth, filamentous growth of a population of unicellular organisms in response to biotic stimulus, filamentous growth of a population of unicellular organisms in response to starvation, Ras protein signal transduction",nan,Plasma Membrane,nan,nan,nan,Reference proteome,nan
Q6C2J1,160,2908415,Mitochondrial Rho GTPase 1,Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica),284591,"calcium ion binding, GTPase activity, GTP binding",Hydrolase,"mitochondrion organization, regulation of mitochondrion organization",nan,Mitochondrion,nan,nan,nan,Reference proteome,nan
R4FN87,160,,Putative rab,Rhodnius prolixus (Triatomid bug),13249,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
R7U8F3,160,,Uncharacterized protein,Capitella teleta (Polychaete worm),283909,"GTPase activity, GTP binding",nan,signal transduction,nan,Other locations,nan,nan,nan,Reference proteome,nan
S8CKR0,160,,Miro domain-containing protein,Genlisea aurea,192259,"GTPase activity, GTP binding",Hydrolase,nan,nan,"Mitochondrion, Other locations",nan,nan,nan,Reference proteome,nan
T1JL36,160,,Uncharacterized protein,Strigamia maritima (European centipede) (Geophilus maritimus),126957,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
W7XAF1,160,24441022,Ras family small GTPase,Tetrahymena thermophila (strain SB210),312017,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
X6MR22,160,,GTP-binding nuclear protein RAN1,Reticulomyxa filosa,46433,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
X6MT60,160,,GTPase,Reticulomyxa filosa,46433,"GTPase activity, GTP binding",nan,signal transduction,nan,Other locations,nan,nan,nan,Reference proteome,nan
X6NFY1,160,,Protein ras-1,Reticulomyxa filosa,46433,"GTPase activity, GTP binding",nan,signal transduction,nan,Other locations,nan,nan,nan,Reference proteome,nan
A0A090LEX6,161,,Ras-related protein Rab-18,Strongyloides ratti (Parasitic roundworm),34506,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
A0A0B2VKB3,161,,GTP-binding protein GEM,Toxocara canis (Canine roundworm),6265,"GTPase activity, GTP binding",nan,signal transduction,nan,Other locations,nan,nan,nan,Reference proteome,nan
A0A0C2T8K5,161,,GTP-binding nuclear protein,Amanita muscaria Koide BX008,946122,"GTPase activity, GTP binding",nan,"nucleocytoplasmic transport, protein transport","Protein transport, Transport",Nucleus,nan,nan,nan,Reference proteome,nan
A0A0D8Y7B8,161,,GTP-binding domain protein,Dictyocaulus viviparus (Bovine lungworm),29172,"calcium ion binding, GTPase activity, GTP binding",Hydrolase,nan,nan,"Mitochondrion, Other locations",nan,nan,nan,Reference proteome,nan
A0A0G4FHC7,161,,Uncharacterized protein,Vitrella brassicaformis (strain CCMP3155),1169540,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
A0A0G4IZ34,161,,Uncharacterized protein,Plasmodiophora brassicae (Clubroot disease),37360,"GTPase activity, GTP binding",nan,signal transduction,nan,Other locations,nan,nan,nan,Reference proteome,nan
A0A0G4J6U1,161,,Mitochondrial Rho GTPase,Plasmodiophora brassicae (Clubroot disease),37360,"calcium ion binding, GTPase activity, GTP binding",Hydrolase,mitochondrion organization,nan,Mitochondrion,nan,nan,nan,Reference proteome,nan
A0A0M0JEK7,161,,Glucose-6-phosphate isomerase,Chrysochromulina tobinii,1460289,"calcium ion binding, glucose-6-phosphate isomerase activity, GTPase activity, GTP binding",Isomerase,"gluconeogenesis, glycolytic process","Gluconeogenesis, Glycolysis",nan,nan,nan,nan,Reference proteome,nan
A0A0M8K833,161,,Uncharacterized protein,Ardenticatena maritima,872965,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
A0A0S4KLB5,161,,"Ras-related GTP-binding protein, putative",Bodo saltans (Flagellated protozoan),75058,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
A0A0T6B5T5,161,,Mitochondrial Rho GTPase,Oryctes borbonicus,1629725,"calcium ion binding, GTPase activity, GTP binding",Hydrolase,"mitochondrion organization, mitochondrion transport along microtubule",nan,Mitochondrion,nan,nan,nan,Reference proteome,nan
A0A0V0QAP4,161,,p-loop containing nucleoside triphosphate hydrolase,Pseudocohnilembus persalinus (Ciliate),266149,"GTPase activity, GTP binding",Hydrolase,nan,nan,nan,nan,nan,nan,Reference proteome,nan
A0A0V0QJH7,161,,p-loop containing nucleoside triphosphate hydrolase,Pseudocohnilembus persalinus (Ciliate),266149,"GTPase activity, GTP binding",Hydrolase,nan,nan,nan,nan,nan,nan,Reference proteome,nan
A0A0V0R871,161,,p-loop containing nucleoside triphosphate hydrolase,Pseudocohnilembus persalinus (Ciliate),266149,"GTPase activity, GTP binding",Hydrolase,nan,nan,nan,nan,nan,nan,Reference proteome,nan
A0A0V0YM37,161,,GTP-binding protein Di-Ras2,Trichinella pseudospiralis (Parasitic roundworm),6337,"GTPase activity, GTP binding",nan,signal transduction,nan,Other locations,nan,nan,nan,Reference proteome,nan
A0A158NU53,161,105624313,Mitochondrial Rho GTPase,Atta cephalotes (Leafcutter ant),12957,"calcium ion binding, GTPase activity, GTP binding",Hydrolase,mitochondrion organization,nan,Mitochondrion,nan,nan,nan,Reference proteome,nan
A0A158R1M1,161,,Mitochondrial Rho GTPase (inferred by orthology to a D. melanogaster protein),Nippostrongylus brasiliensis (Rat hookworm),27835,"calcium ion binding, GTPase activity, GTP binding",Hydrolase,nan,nan,"Mitochondrion, Other locations",nan,nan,nan,Reference proteome,nan
A0A163KG33,161,,Uncharacterized protein,Absidia glauca (Pin mould),4829,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
A0A177BCV6,161,,DnaJ subfamily C member 27,Intoshia linei,1819745,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
A0A183SQX5,161,,Uncharacterized protein,Schistocephalus solidus (Tapeworm),70667,"GTPase activator activity, GTPase activity, GTP binding, metal ion binding",nan,"positive regulation of GTPase activity, signal transduction",nan,Other locations,nan,nan,nan,Reference proteome,nan
A0A1D2MZA5,161,,Ras-like GTP-binding protein RhoL,Orchesella cincta (Springtail),48709,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
A0A1E3PHT8,161,,Septum-promoting GTP-binding protein,Nadsonia fulvescens var. elongata DSM 6958,857566,"GTPase activity, GTP binding, protein-containing complex binding",nan,"establishment of mitotic spindle localization, mitotic spindle orientation checkpoint, negative regulation of protein localization to nucleolus, positive regulation of exit from mitosis, positive regulation of signaling, regulation of protein localization to mitotic spindle pole body",nan,Cytoskeleton,nan,nan,nan,Reference proteome,nan
A0A1J1I9B1,161,,"CLUMA_CG009022, isoform A",Clunio marinus,568069,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
A0A1J4J7X2,161,,Small GTP-binding protein,Tritrichomonas foetus,1144522,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
A0A1J4JE25,161,,Small GTP-binding protein,Tritrichomonas foetus,1144522,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
A0A1J4JHV4,161,,Small GTP-binding protein,Tritrichomonas foetus,1144522,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
A0A1J4JSU6,161,,Ras-related protein Rab-5A,Tritrichomonas foetus,1144522,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
A0A1J4K021,161,,Ras-like protein rasG,Tritrichomonas foetus,1144522,"GTPase activity, GTP binding",nan,signal transduction,nan,Other locations,nan,nan,nan,Reference proteome,nan
A0A1J4K0G0,161,,Ras-related protein RABH1b,Tritrichomonas foetus,1144522,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
A0A1J4K2G8,161,,Ras-related protein Rab-37,Tritrichomonas foetus,1144522,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
A0A1J4K2N7,161,,Ras-related protein Rab-5B,Tritrichomonas foetus,1144522,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
A0A1J4K9N9,161,,Ras-related protein Rab-24,Tritrichomonas foetus,1144522,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
A0A1J4KKD4,161,,Ras family protein,Tritrichomonas foetus,1144522,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
A0A1J4KQB0,161,,Ras-related protein Rab7,Tritrichomonas foetus,1144522,"GTPase activity, GTP binding",nan,nan,nan,Other locations,nan,nan,nan,Reference proteome,nan
A0A1J4KTB0,161,,Small GTP-binding protein,Tritrichomonas foetus,1144522,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
A0A1R2BEV2,161,,Uncharacterized protein,Stentor coeruleus,5963,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
A0A1R2BF83,161,,Uncharacterized protein,Stentor coeruleus,5963,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
A0A1R2BHL5,161,,Uncharacterized protein,Stentor coeruleus,5963,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
A0A1X7UVL9,161,105312773,Uncharacterized protein,Amphimedon queenslandica (Sponge),400682,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
A0A1X7VWD7,161,109580688,Uncharacterized protein,Amphimedon queenslandica (Sponge),400682,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
A0A1Y1VFS9,161,,p-loop containing nucleoside triphosphate hydrolase protein,Piromyces finnis,1754191,"GTPase activity, GTP binding",Hydrolase,nan,nan,nan,nan,nan,nan,Reference proteome,nan
A0A267DLJ9,161,,Uncharacterized protein,Macrostomum lignano,282301,"GTPase activity, GTP binding",nan,signal transduction,nan,Other locations,nan,nan,nan,Reference proteome,nan
A0A267ER02,161,,Mitochondrial Rho GTPase,Macrostomum lignano,282301,"calcium ion binding, GTPase activity, GTP binding",Hydrolase,mitochondrion organization,nan,Mitochondrion,nan,nan,nan,Reference proteome,nan
A0A2A2JQ47,161,,Mitochondrial Rho GTPase,Diploscapter pachys,2018661,"calcium ion binding, GTPase activity, GTP binding",Hydrolase,mitochondrion organization,nan,Mitochondrion,nan,nan,nan,Reference proteome,nan
A0A2A2KHI5,161,,Uncharacterized protein,Diploscapter pachys,2018661,"GTPase activity, GTP binding",nan,I-kappaB kinase/NF-kappaB signaling,nan,nan,nan,nan,nan,Reference proteome,nan
A0A2B4RZJ1,161,,Ras-related protein Rab-8B,Stylophora pistillata (Smooth cauliflower coral),50429,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
A0A2H4UVY9,161,,Rab domain-containing protein,Bodo saltans virus,2024608,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
A0A2K1JG08,161,,Mitochondrial Rho GTPase,Physcomitrium patens (Spreading-leaved earth moss) (Physcomitrella patens),3218,"calcium ion binding, GTPase activity, GTP binding",Hydrolase,"mitochondrion organization, regulation of mitochondrion organization",nan,Mitochondrion,nan,nan,nan,Reference proteome,nan
A0A2K1JX93,161,,Mitochondrial Rho GTPase,Physcomitrium patens (Spreading-leaved earth moss) (Physcomitrella patens),3218,"calcium ion binding, GTPase activity, GTP binding",Hydrolase,"mitochondrion organization, regulation of mitochondrion organization",nan,Mitochondrion,nan,nan,nan,Reference proteome,nan
A0A2K1LAH7,161,,Miro domain-containing protein,Physcomitrium patens (Spreading-leaved earth moss) (Physcomitrella patens),3218,"GTPase activity, GTP binding, metal ion binding",Hydrolase,"mitochondrion organization, regulation of mitochondrion organization",nan,Mitochondrion,nan,nan,nan,Reference proteome,nan
A0A2K3E3X8,161,,Uncharacterized protein,Chlamydomonas reinhardtii (Chlamydomonas smithii),3055,"GTPase activity, GTP binding",nan,intracellular protein transport,nan,nan,nan,nan,nan,Reference proteome,nan
A0A2P6N951,161,,Putative ras family GTPase,Planoprotostelium fungivorum,1890364,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
A0A2R5G478,161,,Ras-related protein Rab-13,Hondaea fermentalgiana,2315210,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
A0A2U1P1I1,161,,rRNA N-glycosidase,Artemisia annua (Sweet wormwood),35608,"GTPase activity, GTP binding, rRNA N-glycosylase activity, toxin activity","Hydrolase, Protein synthesis inhibitor, Toxin","defense response, negative regulation of translation, nucleocytoplasmic transport, protein transport","Plant defense, Protein transport, Transport",Nucleus,nan,nan,nan,Reference proteome,nan
A0A2Z7BE99,161,,Mitochondrial Rho GTPase,Dorcoceras hygrometricum,472368,"calcium ion binding, GTPase activity, GTP binding",Hydrolase,mitochondrion organization,nan,Mitochondrion,nan,nan,nan,Reference proteome,nan
A0A2Z7BE99,161,,Mitochondrial Rho GTPase,Dorcoceras hygrometricum,472368,"calcium ion binding, GTPase activity, GTP binding",Hydrolase,mitochondrion organization,nan,Mitochondrion,nan,nan,nan,Reference proteome,nan
A0A388LAA0,161,,GTP-binding nuclear protein,Chara braunii (Braun's stonewort),69332,"GTPase activity, GTP binding",nan,"nucleocytoplasmic transport, protein transport","Protein transport, Transport",Nucleus,nan,nan,nan,Reference proteome,nan
A0A3M7QIQ3,161,,zf-CCHH domain-containing protein,Brachionus plicatilis (Marine rotifer) (Brachionus muelleri),10195,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
A0A3M7RQ46,161,,Group XV phospholipase A2-like,Brachionus plicatilis (Marine rotifer) (Brachionus muelleri),10195,"GTPase activity, GTP binding, O-acyltransferase activity",nan,lipid metabolic process,nan,nan,nan,nan,nan,Reference proteome,nan
A0A3Q0JFU0,161,,Mitochondrial Rho GTPase,Diaphorina citri (Asian citrus psyllid),121845,"calcium ion binding, GTPase activity, GTP binding",Hydrolase,mitochondrion organization,nan,Mitochondrion,nan,nan,nan,Reference proteome,nan
A0A3Q0KGH9,161,,Uncharacterized protein,Schistosoma mansoni (Blood fluke),6183,"GTPase activity, GTP binding",nan,signal transduction,nan,Other locations,nan,nan,nan,Reference proteome,nan
A0A5A8CFI9,161,,Uncharacterized protein,Cafeteria roenbergensis (Marine flagellate),33653,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
A0A5A8DBJ1,161,,Hypothetical protein,Cafeteria roenbergensis (Marine flagellate),33653,"GTPase activity, GTP binding",nan,signal transduction,nan,Other locations,nan,nan,nan,Reference proteome,nan
A0A5B8MUE9,161,,Small rab-related GTPase,Chloropicon primus,1764295,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
A0A5B9DCT5,161,,Ras family protein,Candidatus Prometheoarchaeum syntrophicum,2594042,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
A0A653C6S1,161,,Mitochondrial Rho GTPase,Callosobruchus maculatus (Southern cowpea weevil) (Pulse bruchid),64391,"calcium ion binding, GTPase activity, GTP binding",Hydrolase,"mitochondrion organization, mitochondrion transport along microtubule",nan,Mitochondrion,nan,nan,nan,Reference proteome,nan
A0A6H5J1P1,161,,Mitochondrial Rho GTPase,Trichogramma brassicae,86971,"calcium ion binding, GTPase activity, GTP binding",Hydrolase,mitochondrion organization,nan,Mitochondrion,nan,nan,nan,Reference proteome,nan
A0A6J1RUB5,161,,Mitochondrial Rho GTPase,Frankliniella occidentalis (Western flower thrips) (Euthrips occidentalis),133901,"calcium ion binding, GTPase activity, GTP binding",Hydrolase,mitochondrion organization,nan,Mitochondrion,nan,nan,nan,Reference proteome,nan
A0A6J8BEX7,161,,RAB6A,Mytilus coruscus (Sea mussel),42192,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
A0A6J8ESX3,161,,RAB6A,Mytilus coruscus (Sea mussel),42192,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
A0CRA6,161,5026505,Uncharacterized protein,Paramecium tetraurelia,5888,"GDP binding, GTPase activity, GTP binding",nan,nan,nan,Plasma Membrane,nan,nan,nan,Reference proteome,nan
A0CSQ9,161,5027008,Uncharacterized protein,Paramecium tetraurelia,5888,"GDP binding, GTPase activity, GTP binding",nan,signal transduction,nan,"Plasma Membrane, Other locations",nan,nan,nan,Reference proteome,nan
A0E232,161,5042531,Uncharacterized protein,Paramecium tetraurelia,5888,"GTPase activity, GTP binding",nan,"mitochondrion organization, regulation of mitochondrion organization",nan,Mitochondrion,nan,nan,nan,Reference proteome,nan
A2EGF8,161,4766147,"Small GTP-binding protein, putative",Trichomonas vaginalis,5722,"GDP binding, GTPase activity, GTP binding",nan,signal transduction,nan,Plasma Membrane,nan,nan,nan,Reference proteome,nan
A2EJU0,161,4764964,"Small GTP-binding protein, putative",Trichomonas vaginalis,5722,"GTPase activity, GTP binding",nan,"intracellular protein transport, intra-Golgi vesicle-mediated transport, retrograde transport, endosome to Golgi, retrograde vesicle-mediated transport, Golgi to endoplasmic reticulum",nan,"Cytosol, Golgi apparatus, Other locations",nan,nan,nan,Reference proteome,nan
A2EU59,161,4761655,"Small GTP-binding protein, putative",Trichomonas vaginalis,5722,"GTPase activity, GTP binding",nan,intracellular protein transport,nan,Other locations,nan,nan,nan,Reference proteome,nan
